ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780559116.13,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780559116.63,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780559117.13,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1780559117.63,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559118.13,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559118.63,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559119.13,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559119.63,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559120.13,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559120.63,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559121.13,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559121.63,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559122.132,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780559122.63,1,TAKEOFF,6.9,-1.0,0.503,100.0,TAKEOFF,8.1,-1.0,0.494,100.0
1780559123.13,1,TAKEOFF,6.9,-1.0,0.959,99.9,TAKEOFF,8.1,-1.0,0.95,99.9
1780559123.63,1,TAKEOFF,6.9,-1.0,1.391,99.8,TAKEOFF,8.1,-1.0,1.382,99.8
1780559124.13,1,TAKEOFF,6.9,-1.0,1.775,99.7,TAKEOFF,8.1,-1.0,1.766,99.7
1780559124.63,1,TAKEOFF,6.9,-1.0,2.183,99.6,TAKEOFF,8.1,-1.0,2.161,99.6
1780559125.13,1,TAKEOFF,6.9,-1.0,2.543,99.5,TAKEOFF,8.1,-1.0,2.4,99.6
1780559125.63,1,TAKEOFF,6.9,-1.0,2.951,99.5,TAKEOFF,8.1,-1.0,2.565,99.5
1780559126.13,1,TAKEOFF,6.9,-1.0,3.328,99.4,TAKEOFF,8.058,-0.749,2.658,99.4
1780559126.63,1,TAKEOFF,6.9,-1.0,3.594,99.3,SURVEY 0%,7.99,-0.341,2.714,99.3
1780559127.13,1,TAKEOFF,6.9,-1.0,3.754,99.2,SURVEY 0%,7.944,-0.065,2.748,99.2
1780559127.63,1,TAKEOFF,6.516,-0.682,3.865,99.1,SURVEY 0%,7.908,0.168,2.771,99.2
1780559128.13,1,SURVEY 0%,5.756,-0.234,3.926,99.0,SURVEY 12%,7.886,0.928,2.784,99.1
1780559128.63,1,SURVEY 0%,5.036,0.031,3.958,99.0,SURVEY 12%,7.873,1.648,2.791,99.0
