ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780639292.597,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780639293.097,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780639293.597,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639294.098,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639294.597,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639295.098,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639295.598,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639296.098,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639296.598,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639297.098,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639297.598,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639298.098,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639298.6,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639299.098,1,TAKEOFF,6.9,-1.0,0.513,99.9,TAKEOFF,8.1,-1.0,0.513,99.9
1780639299.598,1,TAKEOFF,6.9,-1.0,0.969,99.9,TAKEOFF,8.1,-1.0,0.969,99.8
1780639300.098,1,TAKEOFF,6.9,-1.0,1.377,99.8,TAKEOFF,8.1,-1.0,1.377,99.8
1780639300.598,1,TAKEOFF,6.9,-1.0,1.809,99.7,TAKEOFF,8.1,-1.0,1.809,99.7
1780639301.098,1,TAKEOFF,6.9,-1.0,2.241,99.6,TAKEOFF,8.1,-1.0,2.241,99.6
1780639301.598,1,TAKEOFF,6.9,-1.0,2.721,99.5,TAKEOFF,8.1,-1.0,2.721,99.5
1780639302.097,1,TAKEOFF,6.9,-1.0,3.153,99.4,TAKEOFF,8.1,-1.0,3.153,99.4
1780639302.598,1,TAKEOFF,6.9,-1.0,3.5,99.4,TAKEOFF,8.1,-1.0,3.499,99.3
1780639303.098,1,TAKEOFF,6.9,-1.0,3.716,99.3,TAKEOFF,8.1,-1.0,3.715,99.3
1780639303.597,1,TAKEOFF,6.764,-0.879,3.833,99.2,SURVEY,7.972,-0.886,3.833,99.2
1780639304.098,1,SURVEY,6.124,-0.426,3.899,99.1,SURVEY,7.332,-0.433,3.899,99.1
1780639304.598,1,SURVEY,5.284,-0.048,3.948,99.0,SURVEY,6.492,-0.051,3.948,99.0
1780639305.098,1,SURVEY,4.524,0.159,3.971,98.9,SURVEY,5.732,0.157,3.971,98.9
1780639305.598,1,SURVEY,3.799,0.288,3.984,98.9,SURVEY,4.972,0.286,3.984,98.9
1780639306.098,1,SURVEY,3.375,0.357,3.99,98.8,SURVEY,4.332,0.356,3.99,98.8
1780639306.598,1,SURVEY,3.059,0.409,3.995,98.7,SURVEY,3.682,0.408,3.995,98.7
1780639307.098,1,SURVEY,2.857,0.442,3.997,98.6,SURVEY,3.255,0.441,3.997,98.6
1780639307.598,1,SURVEY,2.728,1.123,3.998,98.5,SURVEY,2.982,0.462,3.998,98.5
1780639308.098,1,SURVEY,2.646,1.843,3.999,98.4,SURVEY,2.808,0.744,3.999,98.4
1780639308.598,1,SURVEY,2.598,2.483,3.999,98.4,SURVEY,2.707,1.384,3.999,98.3
1780639309.098,1,SURVEY,2.562,3.203,4.0,98.3,SURVEY,2.632,2.104,4.0,98.3
1780639309.598,1,SURVEY,2.54,3.923,4.0,98.2,SURVEY,2.584,2.824,4.0,98.2
1780639310.098,1,SURVEY,2.526,4.603,4.0,98.1,SURVEY,2.555,3.504,4.0,98.1
1780639310.597,1,SURVEY,2.518,5.203,4.0,98.0,SURVEY,2.538,4.104,4.0,98.0
1780639311.098,1,SURVEY,2.512,5.883,4.0,97.9,SURVEY,2.525,4.784,4.0,97.9
1780639311.598,1,SURVEY,2.508,6.563,4.0,97.9,SURVEY,2.516,5.464,4.0,97.8
1780639312.098,1,SURVEY,2.505,7.163,4.0,97.8,SURVEY,2.511,6.064,4.0,97.8
1780639312.598,1,SURVEY,2.504,7.803,4.0,97.7,SURVEY,2.508,6.704,4.0,97.7
