ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780582915.787,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780582916.287,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780582916.789,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582917.287,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582917.787,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582918.288,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582918.787,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582919.287,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582919.787,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582920.287,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582920.787,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582921.287,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582921.788,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780582922.287,1,TAKEOFF,6.9,-1.0,0.508,99.9,TAKEOFF,8.1,-1.0,0.503,100.0
1780582922.787,1,TAKEOFF,6.9,-1.0,0.892,99.9,TAKEOFF,8.1,-1.0,0.887,99.9
1780582923.288,1,TAKEOFF,6.9,-1.0,1.252,99.8,TAKEOFF,8.1,-1.0,1.247,99.8
1780582923.788,1,TAKEOFF,6.9,-1.0,1.612,99.7,TAKEOFF,8.1,-1.0,1.607,99.7
1780582924.287,1,TAKEOFF,6.9,-1.0,2.044,99.6,TAKEOFF,8.1,-1.0,2.039,99.6
1780582924.788,1,TAKEOFF,6.9,-1.0,2.476,99.5,TAKEOFF,8.1,-1.0,2.369,99.5
1780582925.288,1,TAKEOFF,6.9,-1.0,2.884,99.4,TAKEOFF,8.1,-1.0,2.547,99.5
1780582925.788,1,TAKEOFF,6.9,-1.0,3.268,99.4,TAKEOFF,7.9,-0.825,2.648,99.4
1780582926.288,1,TAKEOFF,6.9,-1.0,3.556,99.3,SURVEY 0%,7.26,-0.391,2.708,99.3
1780582926.787,1,TAKEOFF,6.9,-1.0,3.747,99.2,SURVEY 0%,6.54,-0.069,2.748,99.2
1780582927.287,1,SURVEY 0%,6.524,-0.685,3.87,99.1,SURVEY 0%,5.7,0.164,2.773,99.1
1780582927.787,1,SURVEY 0%,5.844,-0.277,3.924,99.0,SURVEY 0%,5.02,0.28,2.784,99.0
1780582928.287,1,SURVEY 0%,5.164,-0.01,3.955,98.9,SURVEY 0%,4.34,0.356,2.791,99.0
1780582928.787,1,SURVEY 0%,4.484,0.166,3.974,98.9,SURVEY 0%,3.66,0.405,2.795,98.9
1780582929.287,1,SURVEY 0%,3.724,0.292,3.985,98.8,SURVEY 0%,2.9,0.441,2.797,98.8
1780582929.788,1,SURVEY 0%,3.044,0.363,3.991,98.7,SURVEY 0%,2.278,0.461,2.798,98.7
1780582930.288,1,SURVEY 0%,2.362,0.413,3.995,98.6,SURVEY 0%,1.843,0.475,2.799,98.6
1780582930.788,1,SURVEY 0%,1.917,0.443,3.997,98.5,SURVEY 0%,1.576,0.484,2.799,98.5
1780582931.287,1,SURVEY 0%,1.598,0.464,3.998,98.4,SURVEY 0%,1.385,0.72,2.8,98.5
1780582931.787,1,SURVEY 0%,1.416,0.563,3.999,98.4,SURVEY 2%,1.277,1.4,2.8,98.4
1780582932.287,1,SURVEY 2%,1.28,1.363,4.0,98.3,SURVEY 2%,1.196,2.2,2.8,98.3
1780582932.787,1,SURVEY 2%,1.208,2.043,4.0,98.2,SURVEY 2%,1.153,2.88,2.8,98.2
1780582933.288,1,SURVEY 2%,1.163,2.683,4.0,98.1,SURVEY 2%,1.126,3.52,2.8,98.1
1780582933.787,1,SURVEY 2%,1.124,3.563,4.0,98.0,SURVEY 2%,1.103,4.4,2.8,98.0
1780582934.287,1,SURVEY 2%,1.105,4.283,4.0,97.9,SURVEY 2%,1.092,5.12,2.8,98.0
1780582934.789,1,SURVEY 2%,1.092,5.043,4.0,97.9,SURVEY 2%,1.084,5.88,2.8,97.9
1780582935.288,1,SURVEY 2%,1.086,5.683,4.0,97.8,SURVEY 2%,1.08,6.52,2.8,97.8
1780582935.787,1,SURVEY 2%,1.08,6.403,4.0,97.7,SURVEY 2%,1.077,7.24,2.8,97.7
1780582936.288,1,SURVEY 2%,1.077,7.163,4.0,97.6,SURVEY 2%,1.075,8.0,2.8,97.6
1780582936.787,1,SURVEY 2%,1.075,7.843,4.0,97.5,SURVEY 2%,1.074,8.68,2.8,97.5
1780582937.287,1,SURVEY 2%,1.074,8.443,4.0,97.4,SURVEY 2%,1.073,9.28,2.8,97.5
1780582937.787,1,SURVEY 2%,1.073,9.203,4.0,97.4,SURVEY 2%,1.072,10.04,2.8,97.4
1780582938.287,1,SURVEY 2%,1.072,9.923,4.0,97.3,SURVEY 2%,1.072,10.76,2.8,97.3
1780582938.788,1,SURVEY 2%,1.072,10.603,4.0,97.2,SURVEY 2%,1.072,11.44,2.8,97.2
1780582939.287,1,SURVEY 2%,1.072,11.403,4.0,97.1,SURVEY 2%,1.072,12.24,2.8,97.1
1780582939.787,1,SURVEY 2%,1.072,12.043,4.0,97.0,SURVEY 2%,1.072,12.88,2.8,97.0
1780582940.287,1,SURVEY 2%,1.072,12.803,4.0,96.9,SURVEY 2%,1.072,13.49,2.8,97.0
1780582940.787,1,SURVEY 2%,1.072,13.388,4.0,96.9,SURVEY 2%,1.071,13.839,2.8,96.9
1780582941.287,1,SURVEY 2%,1.071,13.807,4.0,96.8,SURVEY 2%,1.071,14.089,2.8,96.8
1780582941.788,1,SURVEY 2%,1.071,14.057,4.0,96.7,SURVEY 4%,1.599,14.237,2.8,96.7
1780582942.287,1,SURVEY 4%,1.447,14.218,4.0,96.6,SURVEY 4%,2.183,14.332,2.8,96.6
1780582942.787,1,SURVEY 4%,2.137,14.328,4.0,96.5,SURVEY 4%,2.588,14.398,2.8,96.5
1780582943.288,1,SURVEY 4%,2.509,14.388,4.0,96.4,SURVEY 4%,2.803,14.433,2.8,96.5
1780582943.787,1,SURVEY 4%,2.741,14.425,4.0,96.4,SURVEY 7%,2.938,14.009,2.8,96.4
1780582944.287,1,SURVEY 7%,2.896,14.209,4.0,96.3,SURVEY 7%,3.028,13.369,2.8,96.3
1780582944.787,1,SURVEY 7%,3.0,13.569,4.0,96.2,SURVEY 7%,3.089,12.729,2.8,96.2
