ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1779903533.002,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1779903533.502,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903534.002,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903534.502,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903535.002,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903535.502,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903536.002,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903536.502,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903537.002,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903537.502,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903538.002,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903538.502,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903539.003,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779903539.502,5,TAKEOFF,6.9,-1.0,0.532,100.0,TAKEOFF,8.1,-1.0,0.518,99.9
1779903540.002,5,TAKEOFF,6.9,-1.0,0.964,99.9,TAKEOFF,8.1,-1.0,0.95,99.8
1779903540.502,5,TAKEOFF,6.9,-1.0,1.396,99.8,TAKEOFF,8.1,-1.0,1.382,99.7
1779903541.002,5,TAKEOFF,6.9,-1.0,1.804,99.7,TAKEOFF,8.1,-1.0,1.79,99.7
1779903541.502,5,TAKEOFF,6.9,-1.0,2.26,99.7,TAKEOFF,8.1,-1.0,2.246,99.6
1779903542.002,5,TAKEOFF,6.9,-1.0,2.668,99.6,TAKEOFF,8.1,-1.0,2.654,99.5
1779903542.502,5,TAKEOFF,6.9,-1.0,3.172,99.5,TAKEOFF,8.1,-1.0,3.158,99.4
1779903543.002,5,TAKEOFF,6.9,-1.0,3.574,99.4,TAKEOFF,8.1,-1.0,3.565,99.3
1779903543.502,5,TAKEOFF,6.9,-1.0,3.78,99.3,TAKEOFF,8.1,-1.0,3.776,99.2
1779903544.002,5,TAKEOFF,6.468,-0.647,3.875,99.2,SURVEY,8.326,-0.655,3.872,99.2
1779903544.502,5,SURVEY,5.708,-0.213,3.931,99.2,SURVEY,8.611,-0.221,3.93,99.1
1779903545.002,5,SURVEY,4.988,0.045,3.961,99.1,SURVEY,8.781,0.038,3.96,99.0
1779903545.502,5,SURVEY,4.308,0.202,3.977,99.0,SURVEY,8.885,0.275,3.976,98.9
1779903546.002,5,SURVEY,3.588,0.309,3.987,98.9,SURVEY,8.957,0.995,3.987,98.8
1779903546.502,5,SURVEY,2.93,0.375,3.992,98.8,SURVEY,9.0,1.675,3.992,98.7
1779903547.002,5,SURVEY,2.49,0.416,3.995,98.7,SURVEY,9.027,2.315,3.995,98.7
1779903547.502,5,SURVEY,2.193,0.444,3.997,98.7,SURVEY,9.046,2.955,3.997,98.6
1779903548.002,5,SURVEY,1.982,0.463,3.998,98.6,SURVEY,9.059,3.635,3.998,98.5
1779903548.502,5,SURVEY,1.839,1.027,3.999,98.5,SURVEY,9.068,4.355,3.999,98.4
1779903549.002,5,SURVEY,1.751,1.707,3.999,98.4,SURVEY,9.073,5.035,3.999,98.3
1779903549.502,5,SURVEY,1.688,2.467,4.0,98.3,SURVEY,9.077,5.795,4.0,98.2
1779903550.002,5,SURVEY,1.65,3.187,4.0,98.2,SURVEY,9.079,6.515,4.0,98.2
1779903550.502,5,SURVEY,1.625,3.947,4.0,98.2,SURVEY,9.081,7.275,4.0,98.1
1779903551.002,5,SURVEY,1.612,4.547,4.0,98.1,SURVEY,9.082,7.875,4.0,98.0
1779903551.502,5,SURVEY,1.603,5.187,4.0,98.0,SURVEY,9.082,8.515,4.0,97.9
1779903552.002,5,SURVEY,1.596,5.907,4.0,97.9,SURVEY,9.083,9.235,4.0,97.8
1779903552.502,5,SURVEY,1.591,6.747,4.0,97.8,SURVEY,9.083,10.075,4.0,97.7
1779903553.002,5,SURVEY,1.588,7.467,4.0,97.7,SURVEY,9.083,10.795,4.0,97.7
1779903553.502,5,SURVEY,1.586,8.107,4.0,97.7,SURVEY,9.083,11.435,4.0,97.6
1779903554.002,5,SURVEY,1.585,8.827,4.0,97.6,SURVEY,9.083,12.155,4.0,97.5
1779903554.502,5,SURVEY,1.585,9.627,4.0,97.5,SURVEY,9.083,12.954,4.0,97.4
1779903555.002,5,SURVEY,1.584,10.347,4.0,97.4,SURVEY,9.083,13.512,4.0,97.3
1779903555.502,5,SURVEY,1.584,11.147,4.0,97.3,SURVEY,9.083,13.901,4.0,97.3
1779903556.002,5,SURVEY,1.584,11.827,4.0,97.2,SURVEY,9.083,14.108,4.0,97.2
1779903556.502,5,SURVEY,1.584,12.507,4.0,97.2,SURVEY,9.682,14.243,4.0,97.1
1779903557.002,5,SURVEY,1.583,13.32,4.0,97.1,SURVEY,10.348,14.352,4.0,97.0
1779903557.502,5,SURVEY,1.583,13.745,4.0,97.0,SURVEY,10.673,14.405,4.0,96.9
1779903558.002,5,SURVEY,1.583,14.042,4.0,96.9,SURVEY,10.899,14.409,4.0,96.8
1779903558.502,5,SURVEY,2.047,14.222,4.0,96.8,SURVEY,11.037,13.609,4.0,96.7
1779903559.002,5,SURVEY,2.659,14.322,4.0,96.7,SURVEY,11.114,12.889,4.0,96.7
1779903559.502,5,SURVEY,3.12,14.397,4.0,96.7,SURVEY,11.172,12.009,4.0,96.6
1779903560.002,5,SURVEY,3.348,14.434,4.0,96.6,SURVEY,11.2,11.289,4.0,96.5
1779903560.502,5,SURVEY,3.48,13.977,4.0,96.5,SURVEY,11.216,10.649,4.0,96.4
1779903561.002,5,SURVEY,3.581,13.217,4.0,96.4,SURVEY,11.229,9.889,4.0,96.3
1779903561.503,5,SURVEY,3.637,12.577,4.0,96.3,SURVEY,11.236,9.249,4.0,96.2
1779903562.002,5,SURVEY,3.676,11.897,4.0,96.2,SURVEY,11.241,8.569,4.0,96.2
1779903562.502,5,SURVEY,3.7,11.257,4.0,96.2,SURVEY,11.244,7.929,4.0,96.1
1779903563.002,5,SURVEY,3.719,10.497,4.0,96.1,SURVEY,11.246,7.169,4.0,96.0
1779903563.502,5,SURVEY,3.729,9.857,4.0,96.0,SURVEY,11.247,6.529,4.0,95.9
1779903564.002,5,SURVEY,3.736,9.177,4.0,95.9,SURVEY,11.248,5.849,4.0,95.8
1779903564.502,5,SURVEY,3.741,8.497,4.0,95.8,SURVEY,11.249,5.169,4.0,95.7
1779903565.002,5,SURVEY,3.745,7.657,4.0,95.7,SURVEY,11.249,4.329,4.0,95.7
1779903565.502,5,SURVEY,3.747,6.977,4.0,95.7,SURVEY,11.25,3.649,4.0,95.6
1779903566.002,5,SURVEY,3.748,6.097,4.0,95.6,SURVEY,11.25,2.769,4.0,95.5
1779903566.502,5,SURVEY,3.749,5.377,4.0,95.5,SURVEY,11.25,2.051,4.0,95.4
1779903567.002,5,SURVEY,3.749,4.697,4.0,95.4,SURVEY,11.25,1.517,4.0,95.3
1779903567.502,5,SURVEY,3.749,4.017,4.0,95.3,SURVEY,11.25,1.167,4.0,95.2
1779903568.002,5,SURVEY,3.75,3.417,4.0,95.2,SURVEY,11.25,0.96,4.0,95.2
1779903568.502,5,SURVEY,3.75,2.737,4.0,95.2,SURVEY,11.586,0.801,4.0,95.1
1779903569.002,5,SURVEY,3.75,2.058,4.0,95.1,SURVEY,12.204,0.698,4.0,95.0
1779903569.502,5,SURVEY,3.75,1.546,4.0,95.0,SURVEY,12.602,0.633,4.0,94.9
1779903570.002,5,SURVEY,3.75,1.186,4.0,94.9,SURVEY,12.883,0.587,4.0,94.8
1779903570.502,5,SURVEY,3.75,0.939,4.0,94.8,SURVEY,13.076,0.647,4.0,94.7
1779903571.002,5,SURVEY,4.142,0.795,4.0,94.7,SURVEY,13.193,1.327,4.0,94.7
1779903571.502,5,SURVEY,4.776,0.689,4.0,94.7,SURVEY,13.27,2.007,4.0,94.6
1779903572.002,5,SURVEY,5.186,0.621,4.0,94.6,SURVEY,13.323,2.727,4.0,94.5
1779903572.502,5,SURVEY,5.437,0.579,4.0,94.5,SURVEY,13.355,3.407,4.0,94.4
1779903573.002,5,SURVEY,5.61,0.832,4.0,94.4,SURVEY,13.377,4.127,4.0,94.3
1779903573.502,5,SURVEY,5.721,1.552,4.0,94.3,SURVEY,13.392,4.847,4.0,94.2
1779903574.002,5,SURVEY,5.785,2.192,4.0,94.2,SURVEY,13.4,5.487,4.0,94.2
1779903574.502,5,SURVEY,5.835,2.952,4.0,94.2,SURVEY,13.406,6.247,4.0,94.1
1779903575.002,5,SURVEY,5.861,3.592,4.0,94.1,SURVEY,13.41,6.887,4.0,94.0
1779903575.502,5,SURVEY,5.88,4.232,4.0,94.0,SURVEY,13.412,7.527,4.0,93.9
1779903576.002,5,SURVEY,5.892,4.872,4.0,93.9,SURVEY,13.413,8.167,4.0,93.8
1779903576.502,5,SURVEY,5.901,5.632,4.0,93.8,SURVEY,13.415,8.927,4.0,93.7
1779903577.002,5,SURVEY,5.907,6.472,4.0,93.7,SURVEY,13.415,9.767,4.0,93.7
1779903577.502,5,SURVEY,5.911,7.152,4.0,93.7,SURVEY,13.416,10.447,4.0,93.6
1779903578.002,5,SURVEY,5.913,7.832,4.0,93.6,SURVEY,13.416,11.127,4.0,93.5
1779903578.502,5,SURVEY,5.914,8.552,4.0,93.5,SURVEY,13.416,11.847,4.0,93.4
1779903579.002,5,SURVEY,5.915,9.232,4.0,93.4,SURVEY,13.416,12.527,4.0,93.3
1779903579.502,5,SURVEY,5.916,9.952,4.0,93.3,SURVEY,13.417,13.212,4.0,93.2
1779903580.002,5,SURVEY,5.916,10.672,4.0,93.2,SURVEY,13.417,13.676,4.0,93.2
1779903580.502,5,SURVEY,5.916,11.312,4.0,93.2,SURVEY,13.417,13.947,4.0,93.1
1779903581.002,5,SURVEY,5.916,12.032,4.0,93.1,RETURN_FROM_SURVEY,13.385,14.109,4.0,93.0
1779903581.502,5,SURVEY,5.916,12.712,4.0,93.0,RETURN_FROM_SURVEY,12.705,13.429,4.0,92.9
1779903582.002,5,SURVEY,5.917,13.29,4.0,92.9,RETURN_FROM_SURVEY,12.065,12.789,4.0,92.8
1779903582.502,5,SURVEY,5.917,13.746,4.0,92.8,RETURN_FROM_SURVEY,11.305,12.029,4.0,92.7
1779903583.002,5,SURVEY,5.917,13.993,4.0,92.7,RETURN_FROM_SURVEY,10.665,11.389,4.0,92.7
1779903583.502,5,SURVEY,5.973,14.042,4.0,92.7,RETURN_FROM_SURVEY,9.985,10.709,4.0,92.6
1779903584.002,5,RETURN_FROM_SURVEY,6.29,13.362,4.0,92.6,RETURN_FROM_SURVEY,9.384,10.069,4.0,92.5
1779903584.502,5,RETURN_FROM_SURVEY,6.5,12.682,4.0,92.5,RETURN_FROM_SURVEY,8.943,9.389,4.0,92.4
1779903585.002,5,RETURN_FROM_SURVEY,6.651,11.922,4.0,92.4,RETURN_FROM_SURVEY,8.623,8.629,4.0,92.3
1779903585.502,5,RETURN_FROM_SURVEY,6.741,11.202,4.0,92.3,RETURN_FROM_SURVEY,8.434,7.909,4.0,92.2
1779903586.002,5,RETURN_FROM_SURVEY,6.798,10.482,4.0,92.2,RETURN_FROM_SURVEY,8.313,7.189,4.0,92.2
1779903586.502,5,RETURN_FROM_SURVEY,6.835,9.762,4.0,92.2,RETURN_FROM_SURVEY,8.237,6.469,4.0,92.1
1779903587.002,5,RETURN_FROM_SURVEY,6.86,9.002,4.0,92.1,RETURN_FROM_SURVEY,8.185,5.709,4.0,92.0
1779903587.502,5,RETURN_FROM_SURVEY,6.874,8.322,4.0,92.0,RETURN_FROM_SURVEY,8.156,5.029,4.0,91.9
1779903588.002,5,RETURN_FROM_SURVEY,6.883,7.602,4.0,91.9,RETURN_FROM_SURVEY,8.136,4.309,4.0,91.8
1779903588.502,5,RETURN_FROM_SURVEY,6.889,6.922,4.0,91.8,RETURN_FROM_SURVEY,8.123,3.629,4.0,91.8
1779903589.002,5,RETURN_FROM_SURVEY,6.893,6.202,4.0,91.7,RETURN_FROM_SURVEY,8.115,2.909,4.0,91.7
1779903589.502,5,RETURN_FROM_SURVEY,6.895,5.482,4.0,91.7,RETURN_FROM_SURVEY,8.109,2.189,4.0,91.6
1779903590.002,5,RETURN_FROM_SURVEY,6.897,4.802,4.0,91.6,RETURN_FROM_SURVEY,8.106,1.509,4.0,91.5
1779903590.502,5,RETURN_FROM_SURVEY,6.898,4.002,4.0,91.5,RETURN_FROM_SURVEY,8.104,0.709,4.0,91.4
1779903591.002,5,RETURN_FROM_SURVEY,6.899,3.242,4.0,91.4,RETURN_FROM_SURVEY,8.102,0.066,4.0,91.3
1779903591.502,5,RETURN_FROM_SURVEY,6.899,2.442,4.0,91.3,RETURN_FROM_SURVEY,8.101,-0.353,4.0,91.2
1779903592.002,5,RETURN_FROM_SURVEY,6.9,1.762,4.0,91.2,RETURN_FROM_SURVEY,8.101,-0.575,4.0,91.2
1779903592.502,5,RETURN_FROM_SURVEY,6.9,0.962,4.0,91.2,LAND_SURVEY,8.101,-0.741,3.795,91.1
1779903593.002,5,RETURN_FROM_SURVEY,6.9,0.248,4.0,91.1,LAND_SURVEY,8.1,-0.839,3.491,91.0
1779903593.502,5,RETURN_FROM_SURVEY,6.9,-0.183,4.0,91.0,LAND_SURVEY,8.1,-0.894,3.219,90.9
1779903594.002,5,RETURN_FROM_SURVEY,6.9,-0.477,4.0,90.9,LAND_SURVEY,8.1,-0.933,2.931,90.8
1779903594.502,5,RETURN_FROM_SURVEY,6.9,-0.645,3.949,90.8,LAND_SURVEY,8.1,-0.955,2.675,90.7
1779903595.002,5,LAND_SURVEY,6.9,-0.767,3.677,90.7,LAND_SURVEY,8.1,-0.97,2.403,90.7
1779903595.502,5,LAND_SURVEY,6.9,-0.847,3.405,90.7,LAND_SURVEY,8.1,-0.981,2.131,90.6
1779903596.002,5,LAND_SURVEY,6.9,-0.903,3.117,90.6,LAND_SURVEY,8.1,-0.988,1.843,90.5
1779903596.502,5,LAND_SURVEY,6.9,-0.939,2.813,90.5,LAND_SURVEY,8.1,-0.992,1.539,90.4
1779903597.002,5,LAND_SURVEY,6.9,-0.961,2.525,90.4,LAND_SURVEY,8.1,-0.995,1.251,90.3
1779903597.502,5,LAND_SURVEY,6.9,-0.976,2.221,90.3,LAND_SURVEY,8.1,-0.997,0.947,90.2
1779903598.003,5,LAND_SURVEY,6.9,-0.985,1.933,90.2,LAND_SURVEY,8.1,-0.998,0.712,90.2
1779903598.502,5,LAND_SURVEY,6.9,-0.99,1.629,90.2,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903599.002,5,LAND_SURVEY,6.9,-0.994,1.293,90.1,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903599.502,5,LAND_SURVEY,6.9,-0.996,0.989,90.0,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903600.002,5,LAND_SURVEY,6.9,-0.998,0.738,89.9,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903600.502,5,LAND_SURVEY,6.9,-0.999,0.596,89.8,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903601.002,5,AWAIT_ROUTE,6.9,-0.999,0.596,89.7,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903601.502,5,AWAIT_ROUTE,6.9,-0.999,0.596,89.7,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903602.002,5,AWAIT_ROUTE,6.9,-0.999,0.596,89.7,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903602.827,5,AWAIT_ROUTE,6.9,-0.999,0.596,89.7,AWAIT_ROUTE,8.1,-0.999,0.587,90.1
1779903603.002,5,AWAIT_ROUTE,7.034,-0.999,0.692,89.7,GOTO_FLOWER,8.137,-0.942,0.679,90.1
1779903603.502,5,GOTO_FLOWER,7.401,-0.999,1.032,89.7,GOTO_FLOWER,8.244,-0.779,1.019,90.0
1779903604.002,5,GOTO_FLOWER,7.653,-0.999,1.392,89.6,GOTO_FLOWER,8.318,-0.667,1.379,89.9
1779903604.502,5,GOTO_FLOWER,7.807,-1.0,1.732,89.5,GOTO_FLOWER,8.364,-0.599,1.719,89.8
1779903605.002,5,GOTO_FLOWER,7.908,-1.0,2.072,89.5,GOTO_FLOWER,8.393,-0.554,2.059,89.7
1779903605.502,5,GOTO_FLOWER,7.977,-1.0,2.428,89.4,GOTO_FLOWER,8.413,-0.523,2.417,89.6
1779903606.002,5,GOTO_FLOWER,8.021,-1.0,2.675,89.3,GOTO_FLOWER,8.426,-0.504,2.669,89.6
1779903606.502,5,GOTO_FLOWER,8.053,-1.0,2.814,89.2,DESCEND,8.436,-0.489,2.818,89.5
1779903607.002,5,DESCEND,8.07,-1.0,2.732,89.1,DESCEND,8.44,-0.482,2.736,89.4
1779903607.502,5,DESCEND,8.081,-1.0,2.646,89.0,DESCEND,8.443,-0.478,2.65,89.3
1779903608.002,5,DESCEND,8.088,-1.0,2.555,89.0,DESCEND,8.445,-0.474,2.559,89.2
1779903608.502,5,DESCEND,8.093,-1.0,2.459,88.9,DESCEND,8.447,-0.472,2.463,89.1
1779903609.002,5,DESCEND,8.095,-1.0,2.367,88.8,DESCEND,8.448,-0.471,2.371,89.1
1779903609.502,5,BRUSH,8.108,-0.988,2.337,88.7,BRUSH,8.458,-0.461,2.331,89.0
1779903610.002,5,BRUSH,8.094,-0.982,2.31,88.6,BRUSH,8.446,-0.451,2.304,88.9
1779903610.502,5,BRUSH,8.084,-1.004,2.275,88.5,BRUSH,8.432,-0.471,2.269,88.8
1779903611.003,5,BRUSH,8.106,-1.016,2.238,88.5,BRUSH,8.45,-0.486,2.234,88.7
1779903611.503,5,BRUSH,8.114,-0.998,2.209,88.4,BRUSH,8.463,-0.47,2.203,88.6
1779903612.002,5,BRUSH,8.097,-0.989,2.182,88.3,BRUSH,8.448,-0.458,2.176,88.6
1779903612.503,5,BRUSH,8.087,-1.004,2.155,88.2,BRUSH,8.436,-0.472,2.147,88.5
1779903613.002,5,BRUSH,8.103,-1.014,2.128,88.1,BRUSH,8.449,-0.483,2.122,88.4
1779903613.502,5,BRUSH,8.112,-0.995,2.097,88.0,BRUSH,8.462,-0.467,2.091,88.3
1779903614.002,5,BRUSH,8.096,-0.987,2.07,88.0,BRUSH,8.447,-0.455,2.065,88.2
1779903614.502,5,BRUSH,8.086,-1.004,2.053,87.9,BRUSH,8.435,-0.47,2.05,88.1
1779903615.002,5,BRUSH,8.103,-1.013,2.043,87.8,BRUSH,8.449,-0.482,2.042,88.1
1779903615.502,5,BRUSH,8.114,-0.994,2.037,87.7,BRUSH,8.464,-0.465,2.036,88.0
