ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780555723.807,5,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780555724.307,5,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780555724.807,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555725.307,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555725.807,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555726.307,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555726.807,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555727.307,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555727.807,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555728.307,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555728.808,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555729.307,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555729.808,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780555730.307,5,TAKEOFF,6.9,-1.0,0.503,99.9,TAKEOFF,8.1,-1.0,0.498,99.9
1780555730.808,5,TAKEOFF,6.9,-1.0,0.935,99.8,TAKEOFF,8.1,-1.0,0.93,99.9
1780555731.307,5,TAKEOFF,6.9,-1.0,1.319,99.8,TAKEOFF,8.1,-1.0,1.314,99.8
1780555731.807,5,TAKEOFF,6.9,-1.0,1.751,99.7,TAKEOFF,8.1,-1.0,1.746,99.7
1780555732.307,5,TAKEOFF,6.9,-1.0,2.183,99.6,TAKEOFF,8.1,-1.0,2.165,99.6
1780555732.807,5,TAKEOFF,6.9,-1.0,2.615,99.5,TAKEOFF,8.1,-1.0,2.439,99.5
1780555733.307,5,TAKEOFF,6.9,-1.0,3.023,99.4,TAKEOFF,8.1,-1.0,2.588,99.4
1780555733.807,5,TAKEOFF,6.9,-1.0,3.369,99.3,SURVEY 0%,7.708,-0.677,2.668,99.4
1780555734.308,5,TAKEOFF,6.9,-1.0,3.64,99.3,SURVEY 0%,6.988,-0.253,2.725,99.3
1780555734.807,5,TAKEOFF,6.9,-1.0,3.782,99.2,SURVEY 0%,6.348,-0.006,2.754,99.2
1780555735.308,5,SURVEY 0%,6.42,-0.613,3.876,99.1,SURVEY 0%,5.628,0.178,2.774,99.1
1780555735.808,5,SURVEY 0%,5.66,-0.195,3.932,99.0,SURVEY 0%,4.868,0.299,2.786,99.0
1780555736.307,5,SURVEY 0%,5.1,0.009,3.956,98.9,SURVEY 0%,4.308,0.358,2.791,98.9
