ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780722860.833,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722861.333,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722861.833,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722862.333,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722862.833,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722863.333,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722863.834,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722864.333,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780722864.833,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1780722865.333,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780722865.833,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780722866.333,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780722866.835,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780722867.333,1,TAKEOFF,6.9,-1.0,0.426,100.0,TAKEOFF,8.1,-1.0,0.431,99.9
1780722867.833,1,TAKEOFF,6.9,-1.0,0.81,99.9,TAKEOFF,8.1,-1.0,0.815,99.8
1780722868.333,1,TAKEOFF,6.9,-1.0,1.194,99.8,TAKEOFF,8.1,-1.0,1.199,99.8
1780722868.834,1,TAKEOFF,6.9,-1.0,1.602,99.7,TAKEOFF,8.1,-1.0,1.607,99.7
1780722869.333,1,TAKEOFF,6.9,-1.0,1.986,99.6,TAKEOFF,8.1,-1.0,1.991,99.6
1780722869.833,1,TAKEOFF,6.9,-1.0,2.37,99.5,TAKEOFF,8.1,-1.0,2.375,99.5
1780722870.333,1,TAKEOFF,6.9,-1.0,2.802,99.5,TAKEOFF,8.1,-1.0,2.807,99.4
1780722870.833,1,TAKEOFF,6.9,-1.0,3.234,99.4,TAKEOFF,8.1,-1.0,3.239,99.3
1780722871.333,1,TAKEOFF,6.9,-1.0,3.578,99.3,TAKEOFF,8.1,-1.0,3.584,99.3
1780722871.834,1,TAKEOFF,6.9,-1.0,3.76,99.2,TAKEOFF,8.1,-1.0,3.764,99.2
1780722872.333,1,SURVEY 0%,6.612,-0.756,3.854,99.1,SURVEY 0%,8.056,-0.738,3.856,99.1
1780722872.834,1,SURVEY 0%,5.932,-0.322,3.915,99.1,SURVEY 0%,7.986,-0.313,3.915,99.0
1780722873.333,1,SURVEY 0%,5.292,-0.053,3.948,99.0,SURVEY 0%,7.941,-0.047,3.949,98.9
1780722873.833,1,SURVEY 0%,4.612,0.137,3.97,98.9,SURVEY 12%,7.91,0.141,3.97,98.8
1780722874.333,1,SURVEY 0%,3.972,0.256,3.982,98.8,SURVEY 12%,7.89,0.775,3.982,98.7
1780722874.833,1,SURVEY 0%,3.292,0.34,3.989,98.7,SURVEY 12%,7.876,1.455,3.989,98.7
1780722875.333,1,SURVEY 0%,2.699,0.393,3.993,98.6,SURVEY 12%,7.868,2.095,3.993,98.6
1780722875.833,1,SURVEY 0%,2.29,0.428,3.996,98.5,SURVEY 12%,7.862,2.735,3.996,98.5
1780722876.333,1,SURVEY 0%,2.014,0.451,3.998,98.5,SURVEY 12%,7.858,3.375,3.998,98.4
1780722876.833,1,SURVEY 0%,1.839,0.467,3.998,98.4,SURVEY 12%,7.856,3.975,3.998,98.3
1780722877.333,1,SURVEY 12%,1.719,1.004,3.999,98.3,SURVEY 12%,7.854,4.575,3.999,98.3
1780722877.833,1,SURVEY 12%,1.63,1.644,3.999,98.2,SURVEY 12%,7.853,5.215,3.999,98.2
1780722878.334,1,SURVEY 12%,1.571,2.284,4.0,98.1,SURVEY 12%,7.852,5.895,4.0,98.1
1780722878.833,1,SURVEY 12%,1.53,2.964,4.0,98.1,SURVEY 12%,7.851,6.535,4.0,98.0
1780722879.333,1,SURVEY 12%,1.504,3.604,4.0,98.0,SURVEY 12%,7.851,7.175,4.0,97.9
1780722879.834,1,SURVEY 12%,1.485,4.284,4.0,97.9,SURVEY 12%,7.851,7.855,4.0,97.8
1780722880.333,1,SURVEY 12%,1.472,5.004,4.0,97.8,SURVEY 12%,7.85,8.575,4.0,97.8
1780722880.833,1,SURVEY 12%,1.464,5.764,4.0,97.7,SURVEY 12%,7.85,9.335,4.0,97.7
1780722881.334,1,SURVEY 12%,1.459,6.404,4.0,97.6,SURVEY 12%,7.85,9.975,4.0,97.6
1780722881.833,1,SURVEY 12%,1.456,7.004,4.0,97.6,SURVEY 12%,7.85,10.575,4.0,97.5
1780722882.333,1,SURVEY 12%,1.454,7.724,4.0,97.5,SURVEY 12%,7.85,11.295,4.0,97.4
1780722882.833,1,SURVEY 12%,1.453,8.404,4.0,97.4,SURVEY 12%,7.85,11.975,4.0,97.3
1780722883.333,1,SURVEY 12%,1.452,9.044,4.0,97.3,SURVEY 12%,7.85,12.615,4.0,97.2
1780722883.833,1,SURVEY 12%,1.451,9.644,4.0,97.2,SURVEY 12%,7.85,13.182,4.0,97.2
1780722884.333,1,SURVEY 12%,1.451,10.284,4.0,97.1,SURVEY 12%,7.85,13.615,4.0,97.1
1780722884.833,1,SURVEY 12%,1.451,10.924,4.0,97.0,SURVEY 12%,7.85,13.904,4.0,97.0
1780722885.333,1,SURVEY 12%,1.45,11.604,4.0,97.0,SURVEY 25%,7.85,14.11,4.0,96.9
1780722885.833,1,SURVEY 12%,1.45,12.284,4.0,96.9,SURVEY 25%,8.416,14.245,4.0,96.8
1780722886.333,1,SURVEY 12%,1.45,12.844,4.0,96.8,SURVEY 25%,8.805,14.319,4.0,96.8
1780722886.833,1,SURVEY 12%,1.45,13.328,4.0,96.7,SURVEY 25%,9.082,14.372,4.0,96.7
1780722887.334,1,SURVEY 12%,1.45,13.732,4.0,96.6,SURVEY 25%,9.311,14.416,4.0,96.6
1780722887.833,1,SURVEY 12%,1.45,13.971,4.0,96.6,SURVEY 37%,9.447,14.118,4.0,96.5
1780722888.333,1,SURVEY 12%,1.522,14.145,4.0,96.5,SURVEY 37%,9.546,13.478,4.0,96.4
1780722888.833,1,SURVEY 25%,2.013,14.242,4.0,96.4,SURVEY 37%,9.602,12.958,4.0,96.3
1780722889.334,1,SURVEY 25%,2.497,14.335,4.0,96.3,SURVEY 37%,9.656,12.238,4.0,96.3
1780722889.834,1,SURVEY 25%,2.776,14.389,4.0,96.2,SURVEY 37%,9.686,11.598,4.0,96.2
1780722890.333,1,SURVEY 25%,2.973,14.427,4.0,96.1,SURVEY 37%,9.708,10.918,4.0,96.1
1780722890.833,1,SURVEY 37%,3.09,13.919,4.0,96.0,SURVEY 37%,9.721,10.318,4.0,96.0
1780722891.334,1,SURVEY 37%,3.18,13.239,4.0,96.0,SURVEY 37%,9.731,9.638,4.0,95.9
1780722891.833,1,SURVEY 37%,3.23,12.679,4.0,95.9,SURVEY 37%,9.737,9.078,4.0,95.8
1780722892.333,1,SURVEY 37%,3.267,12.079,4.0,95.8,SURVEY 37%,9.741,8.478,4.0,95.7
1780722892.833,1,SURVEY 37%,3.293,11.479,4.0,95.7,SURVEY 37%,9.744,7.878,4.0,95.7
1780722893.333,1,SURVEY 37%,3.31,10.919,4.0,95.6,SURVEY 37%,9.746,7.318,4.0,95.6
1780722893.834,1,SURVEY 37%,3.322,10.319,4.0,95.5,SURVEY 37%,9.747,6.718,4.0,95.5
1780722894.333,1,SURVEY 37%,3.332,9.639,4.0,95.5,SURVEY 37%,9.748,6.038,4.0,95.4
1780722894.833,1,SURVEY 37%,3.338,8.959,4.0,95.4,SURVEY 37%,9.749,5.358,4.0,95.3
1780722895.334,1,SURVEY 37%,3.342,8.319,4.0,95.3,SURVEY 37%,9.749,4.718,4.0,95.2
