ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780585675.855,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780585676.355,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780585676.855,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585677.355,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585677.855,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585678.355,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585678.855,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585679.355,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585679.856,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585680.355,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585680.855,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585681.355,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585681.856,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585682.355,1,TAKEOFF,6.9,-1.0,0.522,99.9,TAKEOFF,8.1,-1.0,0.527,99.9
1780585682.855,1,TAKEOFF,6.9,-1.0,1.002,99.8,TAKEOFF,8.1,-1.0,1.007,99.9
1780585683.355,1,TAKEOFF,6.9,-1.0,1.386,99.8,TAKEOFF,8.1,-1.0,1.391,99.8
1780585683.855,1,TAKEOFF,6.9,-1.0,1.818,99.7,TAKEOFF,8.1,-1.0,1.823,99.7
1780585684.355,1,TAKEOFF,6.9,-1.0,2.25,99.6,TAKEOFF,8.1,-1.0,2.227,99.6
1780585684.855,1,TAKEOFF,6.9,-1.0,2.658,99.5,TAKEOFF,8.1,-1.0,2.462,99.5
1780585685.355,1,TAKEOFF,6.9,-1.0,3.138,99.4,TAKEOFF,8.1,-1.0,2.62,99.4
1780585685.856,1,TAKEOFF,6.9,-1.0,3.508,99.3,SURVEY 0%,7.388,-0.463,2.698,99.4
1780585686.355,1,TAKEOFF,6.9,-1.0,3.71,99.3,SURVEY 0%,6.708,-0.132,2.74,99.3
1780585686.855,1,SURVEY 0%,6.828,-0.935,3.83,99.2,SURVEY 0%,6.028,0.087,2.765,99.2
1780585687.355,1,SURVEY 0%,6.028,-0.369,3.91,99.1,SURVEY 0%,5.228,0.249,2.781,99.1
1780585687.855,1,SURVEY 0%,5.188,-0.014,3.954,99.0,SURVEY 0%,4.388,0.352,2.79,99.0
1780585688.355,1,SURVEY 0%,4.428,0.18,3.974,98.9,SURVEY 0%,3.628,0.408,2.795,98.9
1780585688.855,1,SURVEY 0%,3.668,0.301,3.986,98.8,SURVEY 0%,2.868,0.443,2.797,98.9
1780585689.355,1,SURVEY 0%,3.028,0.366,3.992,98.8,SURVEY 0%,2.285,0.462,2.798,98.8
1780585689.855,1,SURVEY 0%,2.347,0.415,3.995,98.7,SURVEY 0%,1.847,0.475,2.799,98.7
1780585690.355,1,SURVEY 0%,1.885,0.445,3.997,98.6,SURVEY 0%,1.567,0.484,2.799,98.6
1780585690.855,1,SURVEY 0%,1.566,0.467,3.999,98.5,SURVEY 7%,1.373,0.824,2.8,98.5
1780585691.355,1,SURVEY 7%,1.404,0.698,3.999,98.4,SURVEY 7%,1.273,1.464,2.8,98.4
1780585691.855,1,SURVEY 7%,1.284,1.418,3.999,98.3,SURVEY 7%,1.201,2.184,2.8,98.3
1780585692.355,1,SURVEY 7%,1.201,2.218,4.0,98.3,SURVEY 7%,1.15,2.984,2.8,98.3
1780585692.855,1,SURVEY 7%,1.154,2.938,4.0,98.2,SURVEY 7%,1.121,3.704,2.8,98.2
1780585693.355,1,SURVEY 7%,1.125,3.618,4.0,98.1,SURVEY 7%,1.104,4.384,2.8,98.1
1780585693.855,1,SURVEY 7%,1.108,4.258,4.0,98.0,SURVEY 7%,1.094,5.024,2.8,98.0
1780585694.355,1,SURVEY 7%,1.095,4.938,4.0,97.9,SURVEY 7%,1.086,5.704,2.8,97.9
1780585694.855,1,SURVEY 7%,1.087,5.618,4.0,97.8,SURVEY 7%,1.081,6.384,2.8,97.9
1780585695.355,1,SURVEY 7%,1.082,6.218,4.0,97.8,SURVEY 7%,1.078,6.984,2.8,97.8
1780585695.855,1,SURVEY 7%,1.078,6.898,4.0,97.7,SURVEY 7%,1.076,7.664,2.8,97.7
1780585696.355,1,SURVEY 7%,1.076,7.658,4.0,97.6,SURVEY 7%,1.074,8.424,2.8,97.6
1780585696.855,1,SURVEY 7%,1.074,8.338,4.0,97.5,SURVEY 7%,1.073,9.104,2.8,97.5
1780585697.355,1,SURVEY 7%,1.073,9.058,4.0,97.4,SURVEY 7%,1.073,9.824,2.8,97.4
1780585697.855,1,SURVEY 7%,1.073,9.778,4.0,97.3,SURVEY 7%,1.072,10.544,2.8,97.4
