ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780585370.205,4,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780585370.708,4,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780585371.205,4,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780585371.705,4,IDLE,0.0,0.0,0.0,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585372.205,4,IDLE,0.0,0.0,0.0,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585372.706,4,IDLE,0.0,0.0,0.0,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585373.205,4,IDLE,0.0,0.0,0.0,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585373.705,4,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585374.206,4,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585374.706,4,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585375.206,4,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585375.705,4,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585376.208,4,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780585376.705,4,TAKEOFF,6.9,-1.0,0.465,100.0,TAKEOFF,8.1,-1.0,0.489,99.9
1780585377.205,4,TAKEOFF,6.9,-1.0,0.897,99.9,TAKEOFF,8.1,-1.0,0.921,99.8
1780585377.706,4,TAKEOFF,6.9,-1.0,1.305,99.8,TAKEOFF,8.1,-1.0,1.329,99.8
1780585378.205,4,TAKEOFF,6.9,-1.0,1.713,99.7,TAKEOFF,8.1,-1.0,1.737,99.7
1780585378.706,4,TAKEOFF,6.9,-1.0,2.193,99.7,TAKEOFF,8.1,-1.0,2.196,99.6
1780585379.206,4,TAKEOFF,6.9,-1.0,2.649,99.6,TAKEOFF,8.1,-1.0,2.469,99.5
1780585379.705,4,TAKEOFF,6.9,-1.0,3.033,99.5,TAKEOFF,8.1,-1.0,2.599,99.4
1780585380.206,4,TAKEOFF,6.9,-1.0,3.433,99.4,SURVEY 0%,7.588,-0.592,2.686,99.3
1780585380.706,4,TAKEOFF,6.9,-1.0,3.658,99.3,SURVEY 0%,6.948,-0.234,2.731,99.3
1780585381.206,4,TAKEOFF,6.9,-1.0,3.793,99.2,SURVEY 0%,6.308,0.007,2.758,99.2
1780585381.706,4,TAKEOFF,6.452,-0.637,3.875,99.2,SURVEY 0%,5.668,0.168,2.775,99.1
1780585382.206,4,SURVEY 0%,5.692,-0.209,3.931,99.1,SURVEY 0%,4.908,0.293,2.786,99.0
1780585382.706,4,SURVEY 0%,5.012,0.035,3.959,99.0,SURVEY 0%,4.228,0.365,2.792,98.9
1780585383.205,4,SURVEY 0%,4.372,0.188,3.975,98.9,SURVEY 0%,3.588,0.409,2.795,98.8
1780585383.705,4,SURVEY 0%,3.572,0.31,3.987,98.8,SURVEY 0%,2.788,0.445,2.797,98.7
1780585384.205,4,SURVEY 0%,2.852,0.379,3.993,98.7,SURVEY 0%,2.171,0.465,2.799,98.7
1780585384.706,4,SURVEY 0%,2.213,0.423,3.996,98.7,SURVEY 0%,1.774,0.478,2.799,98.6
1780585385.206,4,SURVEY 0%,1.84,0.448,3.997,98.6,SURVEY 0%,1.543,0.485,2.799,98.5
1780585385.706,4,SURVEY 0%,1.601,0.464,3.998,98.5,SURVEY 7%,1.397,0.72,2.8,98.4
1780585386.206,4,SURVEY 0%,1.427,0.555,3.999,98.4,SURVEY 7%,1.29,1.36,2.8,98.3
1780585386.706,4,SURVEY 7%,1.317,1.155,3.999,98.3,SURVEY 7%,1.222,1.96,2.8,98.2
1780585387.206,4,SURVEY 7%,1.236,1.795,4.0,98.2,SURVEY 7%,1.173,2.6,2.8,98.2
1780585387.705,4,SURVEY 7%,1.182,2.435,4.0,98.2,SURVEY 7%,1.14,3.24,2.8,98.1
1780585388.205,4,SURVEY 7%,1.148,3.035,4.0,98.1,SURVEY 7%,1.118,3.84,2.8,98.0
1780585388.706,4,SURVEY 7%,1.124,3.635,4.0,98.0,SURVEY 7%,1.104,4.44,2.8,97.9
1780585389.206,4,SURVEY 7%,1.108,4.235,4.0,97.9,SURVEY 7%,1.094,5.04,2.8,97.8
1780585389.705,4,SURVEY 7%,1.095,4.955,4.0,97.8,SURVEY 7%,1.086,5.76,2.8,97.8
1780585390.206,4,SURVEY 7%,1.087,5.595,4.0,97.7,SURVEY 7%,1.081,6.4,2.8,97.7
1780585390.706,4,SURVEY 7%,1.082,6.155,4.0,97.7,SURVEY 7%,1.078,6.96,2.8,97.6
1780585391.206,4,SURVEY 7%,1.078,6.875,4.0,97.6,SURVEY 7%,1.076,7.68,2.8,97.5
1780585391.705,4,SURVEY 7%,1.076,7.515,4.0,97.5,SURVEY 7%,1.074,8.32,2.8,97.4
1780585392.206,4,SURVEY 7%,1.074,8.355,4.0,97.4,SURVEY 7%,1.073,9.16,2.8,97.3
1780585392.706,4,SURVEY 7%,1.073,9.035,4.0,97.3,SURVEY 7%,1.073,9.84,2.8,97.2
1780585393.206,4,SURVEY 7%,1.073,9.675,4.0,97.2,SURVEY 7%,1.072,10.48,2.8,97.2
1780585393.706,4,SURVEY 7%,1.072,10.235,4.0,97.2,SURVEY 7%,1.072,11.04,2.8,97.1
1780585394.206,4,SURVEY 7%,1.072,10.875,4.0,97.1,SURVEY 7%,1.072,11.68,2.8,97.0
1780585394.706,4,SURVEY 7%,1.072,11.515,4.0,97.0,SURVEY 7%,1.072,12.32,2.8,96.9
1780585395.206,4,SURVEY 7%,1.072,12.235,4.0,96.9,SURVEY 7%,1.072,13.032,2.8,96.8
1780585395.706,4,SURVEY 7%,1.072,12.915,4.0,96.8,SURVEY 7%,1.072,13.539,2.8,96.8
1780585396.205,4,SURVEY 7%,1.072,13.485,4.0,96.7,SURVEY 7%,1.071,13.887,2.8,96.7
1780585396.706,4,SURVEY 7%,1.071,13.836,4.0,96.7,SURVEY 7%,1.071,14.098,2.8,96.6
1780585397.206,4,SURVEY 7%,1.071,14.075,4.0,96.6,SURVEY 14%,1.591,14.244,2.8,96.5
1780585397.706,4,SURVEY 7%,1.487,14.215,4.0,96.5,SURVEY 14%,2.123,14.328,2.8,96.4
1780585398.205,4,SURVEY 14%,2.081,14.313,4.0,96.4,SURVEY 14%,2.499,14.387,2.8,96.3
1780585398.706,4,SURVEY 14%,2.432,14.371,4.0,96.3,SURVEY 14%,2.722,14.422,2.8,96.3
1780585399.205,4,SURVEY 14%,2.688,14.413,4.0,96.2,SURVEY 21%,2.883,14.249,2.8,96.2
1780585399.706,4,SURVEY 14%,2.869,14.335,4.0,96.2,SURVEY 21%,2.997,13.569,2.8,96.1
1780585400.206,4,SURVEY 21%,2.983,13.695,4.0,96.1,SURVEY 21%,3.068,12.929,2.8,96.0
1780585400.706,4,SURVEY 21%,3.062,13.015,4.0,96.0,SURVEY 21%,3.119,12.249,2.8,95.9
1780585401.205,4,SURVEY 21%,3.117,12.295,4.0,95.9,SURVEY 21%,3.153,11.529,2.8,95.8
1780585401.706,4,SURVEY 21%,3.149,11.655,4.0,95.8,SURVEY 21%,3.173,10.889,2.8,95.8
1780585402.206,4,SURVEY 21%,3.173,10.935,4.0,95.7,SURVEY 21%,3.188,10.169,2.8,95.7
1780585402.706,4,SURVEY 21%,3.186,10.335,4.0,95.7,SURVEY 21%,3.196,9.569,2.8,95.6
1780585403.206,4,SURVEY 21%,3.196,9.615,4.0,95.6,SURVEY 21%,3.203,8.849,2.8,95.5
1780585403.706,4,SURVEY 21%,3.203,8.895,4.0,95.5,SURVEY 21%,3.207,8.129,2.8,95.4
1780585404.206,4,SURVEY 21%,3.207,8.175,4.0,95.4,SURVEY 21%,3.21,7.409,2.8,95.3
1780585404.705,4,SURVEY 21%,3.209,7.535,4.0,95.3,SURVEY 21%,3.211,6.769,2.8,95.3
1780585405.205,4,SURVEY 21%,3.211,6.855,4.0,95.2,SURVEY 21%,3.212,6.089,2.8,95.2
1780585405.705,4,SURVEY 21%,3.212,6.015,4.0,95.2,SURVEY 21%,3.213,5.249,2.8,95.1
1780585406.205,4,SURVEY 21%,3.213,5.215,4.0,95.1,SURVEY 21%,3.214,4.489,2.8,95.0
1780585406.706,4,SURVEY 21%,3.213,4.575,4.0,95.0,SURVEY 21%,3.214,3.809,2.8,94.9
1780585407.206,4,SURVEY 21%,3.214,3.935,4.0,94.9,SURVEY 21%,3.214,3.169,2.8,94.8
1780585407.706,4,SURVEY 21%,3.214,3.375,4.0,94.8,SURVEY 21%,3.214,2.609,2.8,94.8
1780585408.206,4,SURVEY 21%,3.214,2.815,4.0,94.7,SURVEY 21%,3.214,2.051,2.8,94.7
1780585408.705,4,SURVEY 21%,3.214,2.055,4.0,94.7,SURVEY 21%,3.214,1.467,2.8,94.6
1780585409.205,4,SURVEY 21%,3.214,1.545,4.0,94.6,SURVEY 21%,3.214,1.15,2.8,94.5
1780585409.705,4,SURVEY 21%,3.214,1.168,4.0,94.5,SURVEY 21%,3.214,0.915,2.8,94.4
1780585410.206,4,SURVEY 21%,3.214,0.938,4.0,94.4,SURVEY 28%,3.734,0.771,2.8,94.3
1780585410.705,4,SURVEY 21%,3.606,0.787,4.0,94.3,SURVEY 28%,4.293,0.678,2.8,94.3
