ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780029669.962,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1780029670.462,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029670.962,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029671.462,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029671.962,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029672.463,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029672.962,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029673.462,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029673.962,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029674.462,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029674.962,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029675.462,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029675.965,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780029676.462,5,TAKEOFF,6.9,-1.0,0.561,100.0,TAKEOFF,8.1,-1.0,0.546,99.9
1780029676.962,5,TAKEOFF,6.9,-1.0,0.969,99.9,TAKEOFF,8.1,-1.0,0.954,99.8
1780029677.462,5,TAKEOFF,6.9,-1.0,1.425,99.8,TAKEOFF,8.1,-1.0,1.41,99.8
1780029677.962,5,TAKEOFF,6.9,-1.0,1.833,99.7,TAKEOFF,8.1,-1.0,1.818,99.7
1780029678.462,5,TAKEOFF,6.9,-1.0,2.193,99.7,TAKEOFF,8.1,-1.0,2.178,99.6
1780029678.962,5,TAKEOFF,6.9,-1.0,2.649,99.6,TAKEOFF,8.1,-1.0,2.634,99.5
1780029679.462,5,TAKEOFF,6.9,-1.0,3.129,99.5,TAKEOFF,8.1,-1.0,3.114,99.4
1780029679.963,5,TAKEOFF,6.9,-1.0,3.515,99.4,TAKEOFF,8.1,-1.0,3.508,99.3
1780029680.462,5,TAKEOFF,6.9,-1.0,3.725,99.3,TAKEOFF,8.1,-1.0,3.72,99.3
1780029680.962,5,TAKEOFF,6.708,-0.833,3.844,99.2,SURVEY,8.184,-0.873,3.841,99.2
1780029681.463,5,SURVEY,5.988,-0.352,3.911,99.2,SURVEY,8.508,-0.377,3.909,99.1
1780029681.962,5,SURVEY,5.308,-0.058,3.948,99.1,SURVEY,8.707,-0.074,3.947,99.0
1780029682.462,5,SURVEY,4.668,0.124,3.968,99.0,SURVEY,8.83,0.114,3.968,98.9
1780029682.962,5,SURVEY,3.908,0.266,3.983,98.9,SURVEY,8.926,0.553,3.982,98.8
1780029683.462,5,SURVEY,3.268,0.343,3.989,98.8,SURVEY,8.978,1.193,3.989,98.8
1780029683.962,5,SURVEY,2.686,0.397,3.994,98.7,SURVEY,9.014,1.873,3.994,98.7
1780029684.462,5,SURVEY,2.288,0.434,3.996,98.7,SURVEY,9.039,2.593,3.996,98.6
1780029684.963,5,SURVEY,2.058,0.456,3.998,98.6,SURVEY,9.054,3.233,3.998,98.5
1780029685.462,5,SURVEY,1.894,0.722,3.999,98.5,SURVEY,9.064,3.913,3.999,98.4
1780029685.962,5,SURVEY,1.782,1.442,3.999,98.4,SURVEY,9.071,4.633,3.999,98.3
1780029686.462,5,SURVEY,1.717,2.082,4.0,98.3,SURVEY,9.075,5.273,4.0,98.3
1780029686.962,5,SURVEY,1.671,2.762,4.0,98.2,SURVEY,9.078,5.953,4.0,98.2
1780029687.462,5,SURVEY,1.644,3.362,4.0,98.2,SURVEY,9.08,6.553,4.0,98.1
1780029687.962,5,SURVEY,1.624,4.002,4.0,98.1,SURVEY,9.081,7.193,4.0,98.0
1780029688.462,5,SURVEY,1.609,4.722,4.0,98.0,SURVEY,9.082,7.913,4.0,97.9
1780029688.962,5,SURVEY,1.6,5.402,4.0,97.9,SURVEY,9.082,8.593,4.0,97.8
1780029689.462,5,SURVEY,1.595,6.042,4.0,97.8,SURVEY,9.083,9.233,4.0,97.8
1780029689.962,5,SURVEY,1.591,6.762,4.0,97.7,SURVEY,9.083,9.953,4.0,97.7
1780029690.462,5,SURVEY,1.588,7.362,4.0,97.7,SURVEY,9.083,10.553,4.0,97.6
1780029690.962,5,SURVEY,1.587,8.002,4.0,97.6,SURVEY,9.083,11.193,4.0,97.5
1780029691.462,5,SURVEY,1.586,8.642,4.0,97.5,SURVEY,9.083,11.833,4.0,97.4
1780029691.962,5,SURVEY,1.585,9.362,4.0,97.4,SURVEY,9.083,12.553,4.0,97.3
1780029692.462,5,SURVEY,1.584,10.002,4.0,97.3,SURVEY,9.083,13.168,4.0,97.3
1780029692.962,5,SURVEY,1.584,10.682,4.0,97.2,SURVEY,9.083,13.626,4.0,97.2
1780029693.462,5,SURVEY,1.584,11.282,4.0,97.2,SURVEY,9.083,13.897,4.0,97.1
1780029693.962,5,SURVEY,1.584,11.922,4.0,97.1,SURVEY,9.083,14.095,4.0,97.0
1780029694.462,5,SURVEY,1.584,12.682,4.0,97.0,SURVEY,9.635,14.248,4.0,96.9
1780029694.962,5,SURVEY,1.583,13.327,4.0,96.9,SURVEY,10.219,14.339,4.0,96.8
1780029695.462,5,SURVEY,1.583,13.751,4.0,96.8,SURVEY,10.591,14.397,4.0,96.7
1780029695.962,5,SURVEY,1.583,13.971,4.0,96.7,SURVEY,10.784,14.427,4.0,96.7
1780029696.462,5,SURVEY,1.615,14.144,4.0,96.7,SURVEY,10.937,14.203,4.0,96.6
1780029696.962,5,SURVEY,2.287,14.266,4.0,96.6,SURVEY,11.045,13.523,4.0,96.5
1780029697.462,5,SURVEY,2.768,14.343,4.0,96.5,SURVEY,11.112,12.883,4.0,96.4
1780029697.962,5,SURVEY,3.089,14.395,4.0,96.4,SURVEY,11.157,12.243,4.0,96.3
1780029698.462,5,SURVEY,3.294,14.427,4.0,96.3,SURVEY,11.186,11.643,4.0,96.3
1780029698.962,5,SURVEY,3.474,14.002,4.0,96.2,SURVEY,11.211,10.843,4.0,96.2
1780029699.462,5,SURVEY,3.565,13.362,4.0,96.2,SURVEY,11.224,10.203,4.0,96.1
1780029699.963,5,SURVEY,3.626,12.722,4.0,96.1,SURVEY,11.232,9.563,4.0,96.0
1780029700.462,5,SURVEY,3.669,12.042,4.0,96.0,SURVEY,11.238,8.883,4.0,95.9
1780029700.962,5,SURVEY,3.698,11.322,4.0,95.9,SURVEY,11.243,8.163,4.0,95.8
1780029701.462,5,SURVEY,3.716,10.642,4.0,95.8,SURVEY,11.245,7.483,4.0,95.8
1780029701.962,5,SURVEY,3.727,10.002,4.0,95.7,SURVEY,11.247,6.843,4.0,95.7
1780029702.462,5,SURVEY,3.735,9.362,4.0,95.7,SURVEY,11.248,6.203,4.0,95.6
1780029702.962,5,SURVEY,3.74,8.722,4.0,95.6,SURVEY,11.249,5.563,4.0,95.5
1780029703.462,5,SURVEY,3.743,8.002,4.0,95.5,SURVEY,11.249,4.843,4.0,95.4
1780029703.962,5,SURVEY,3.746,7.362,4.0,95.4,SURVEY,11.249,4.203,4.0,95.3
1780029704.462,5,SURVEY,3.747,6.762,4.0,95.3,SURVEY,11.25,3.603,4.0,95.3
1780029704.962,5,SURVEY,3.748,6.122,4.0,95.2,SURVEY,11.25,2.963,4.0,95.2
1780029705.462,5,SURVEY,3.749,5.442,4.0,95.2,SURVEY,11.25,2.283,4.0,95.1
1780029705.962,5,SURVEY,3.749,4.802,4.0,95.1,SURVEY,11.25,1.704,4.0,95.0
1780029706.462,5,SURVEY,3.749,4.162,4.0,95.0,SURVEY,11.25,1.307,4.0,94.9
1780029706.962,5,SURVEY,3.75,3.442,4.0,94.9,SURVEY,11.25,1.016,4.0,94.8
1780029707.462,5,SURVEY,3.75,2.842,4.0,94.8,SURVEY,11.282,0.856,4.0,94.7
1780029707.962,5,SURVEY,3.75,2.162,4.0,94.7,SURVEY,11.954,0.733,4.0,94.7
1780029708.462,5,SURVEY,3.75,1.563,4.0,94.7,SURVEY,12.481,0.649,4.0,94.6
1780029708.962,5,SURVEY,3.75,1.196,4.0,94.6,SURVEY,12.804,0.598,4.0,94.5
1780029709.462,5,SURVEY,3.75,0.956,4.0,94.5,SURVEY,13.015,0.564,4.0,94.4
1780029709.962,5,SURVEY,4.126,0.791,4.0,94.4,SURVEY,13.16,1.126,4.0,94.3
1780029710.462,5,SURVEY,4.735,0.691,4.0,94.3,SURVEY,13.248,1.806,4.0,94.2
1780029710.962,5,SURVEY,5.141,0.625,4.0,94.2,SURVEY,13.306,2.486,4.0,94.2
1780029711.462,5,SURVEY,5.421,0.58,4.0,94.2,SURVEY,13.346,3.206,4.0,94.1
1780029711.962,5,SURVEY,5.584,0.711,4.0,94.1,SURVEY,13.369,3.846,4.0,94.0
1780029712.462,5,SURVEY,5.693,1.351,4.0,94.0,SURVEY,13.385,4.486,4.0,93.9
1780029712.962,5,SURVEY,5.777,2.111,4.0,93.9,SURVEY,13.397,5.246,4.0,93.8
1780029713.462,5,SURVEY,5.827,2.831,4.0,93.8,SURVEY,13.404,5.966,4.0,93.7
1780029713.962,5,SURVEY,5.854,3.391,4.0,93.7,SURVEY,13.408,6.526,4.0,93.7
1780029714.462,5,SURVEY,5.873,3.991,4.0,93.7,SURVEY,13.41,7.126,4.0,93.6
1780029714.962,5,SURVEY,5.888,4.671,4.0,93.6,SURVEY,13.413,7.806,4.0,93.5
1780029715.462,5,SURVEY,5.898,5.351,4.0,93.5,SURVEY,13.414,8.486,4.0,93.4
1780029715.962,5,SURVEY,5.904,6.031,4.0,93.4,SURVEY,13.415,9.166,4.0,93.3
1780029716.462,5,SURVEY,5.909,6.711,4.0,93.3,SURVEY,13.416,9.846,4.0,93.3
1780029716.962,5,SURVEY,5.911,7.311,4.0,93.2,SURVEY,13.416,10.446,4.0,93.2
1780029717.462,5,SURVEY,5.913,7.991,4.0,93.2,SURVEY,13.416,11.126,4.0,93.1
1780029717.962,5,SURVEY,5.914,8.631,4.0,93.1,SURVEY,13.416,11.766,4.0,93.0
1780029718.462,5,SURVEY,5.915,9.271,4.0,93.0,SURVEY,13.416,12.406,4.0,92.9
1780029718.962,5,SURVEY,5.916,9.991,4.0,92.9,SURVEY,13.417,13.11,4.0,92.8
1780029719.462,5,SURVEY,5.916,10.591,4.0,92.8,SURVEY,13.417,13.542,4.0,92.8
1780029719.963,5,SURVEY,5.916,11.271,4.0,92.7,SURVEY,13.417,13.871,4.0,92.7
1780029720.462,5,SURVEY,5.916,11.871,4.0,92.7,SURVEY,13.417,14.067,4.0,92.6
1780029720.962,5,SURVEY,5.916,12.551,4.0,92.6,RETURN_FROM_SURVEY,13.105,13.844,4.0,92.5
1780029721.462,5,SURVEY,5.917,13.196,4.0,92.5,RETURN_FROM_SURVEY,12.425,13.164,4.0,92.4
1780029721.962,5,SURVEY,5.917,13.645,4.0,92.4,RETURN_FROM_SURVEY,11.745,12.484,4.0,92.3
1780029722.462,5,SURVEY,5.917,13.953,4.0,92.3,RETURN_FROM_SURVEY,11.025,11.764,4.0,92.3
1780029722.962,5,SURVEY,5.917,14.142,4.0,92.2,RETURN_FROM_SURVEY,10.345,11.084,4.0,92.2
1780029723.462,5,RETURN_FROM_SURVEY,6.269,13.441,4.0,92.2,RETURN_FROM_SURVEY,9.588,10.324,4.0,92.1
1780029723.962,5,RETURN_FROM_SURVEY,6.486,12.761,4.0,92.1,RETURN_FROM_SURVEY,9.074,9.644,4.0,92.0
1780029724.462,5,RETURN_FROM_SURVEY,6.642,12.001,4.0,92.0,RETURN_FROM_SURVEY,8.707,8.884,4.0,91.9
1780029724.962,5,RETURN_FROM_SURVEY,6.722,11.401,4.0,91.9,RETURN_FROM_SURVEY,8.507,8.244,4.0,91.8
1780029725.462,5,RETURN_FROM_SURVEY,6.786,10.681,4.0,91.8,RETURN_FROM_SURVEY,8.367,7.564,4.0,91.8
1780029725.962,5,RETURN_FROM_SURVEY,6.823,10.041,4.0,91.7,RETURN_FROM_SURVEY,8.279,6.924,4.0,91.7
1780029726.462,5,RETURN_FROM_SURVEY,6.85,9.361,4.0,91.7,RETURN_FROM_SURVEY,8.217,6.244,4.0,91.6
