ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1780638997.101,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780638997.601,1,IDLE,0.0,0.0,0.0,100.0,IDLE,0.0,0.0,0.0,100.0
1780638998.101,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1780638998.601,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780638999.101,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780638999.601,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639000.101,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639000.601,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639001.101,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639001.601,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639002.101,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639002.601,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639003.103,1,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1780639003.602,1,TAKEOFF,6.9,-1.0,0.479,99.9,TAKEOFF,8.1,-1.0,0.479,99.9
1780639004.102,1,TAKEOFF,6.9,-1.0,0.887,99.9,TAKEOFF,8.1,-1.0,0.911,99.8
1780639004.601,1,TAKEOFF,6.9,-1.0,1.343,99.8,TAKEOFF,8.1,-1.0,1.343,99.8
1780639005.101,1,TAKEOFF,6.9,-1.0,1.775,99.7,TAKEOFF,8.1,-1.0,1.775,99.7
1780639005.601,1,TAKEOFF,6.9,-1.0,2.231,99.6,TAKEOFF,8.1,-1.0,2.231,99.6
1780639006.101,1,TAKEOFF,6.9,-1.0,2.639,99.5,TAKEOFF,8.1,-1.0,2.639,99.5
1780639006.601,1,TAKEOFF,6.9,-1.0,3.047,99.4,TAKEOFF,8.1,-1.0,3.047,99.4
1780639007.101,1,TAKEOFF,6.9,-1.0,3.388,99.4,TAKEOFF,8.1,-1.0,3.388,99.3
1780639007.601,1,TAKEOFF,6.9,-1.0,3.631,99.3,TAKEOFF,8.1,-1.0,3.63,99.3
1780639008.101,1,TAKEOFF,6.9,-1.0,3.791,99.2,TAKEOFF,8.1,-1.0,3.789,99.2
1780639008.601,1,SURVEY,6.356,-0.569,3.877,99.1,SURVEY,7.548,-0.565,3.876,99.1
1780639009.101,1,SURVEY,5.596,-0.165,3.933,99.0,SURVEY,6.788,-0.162,3.932,99.0
1780639009.601,1,SURVEY,4.836,0.086,3.963,98.9,SURVEY,6.028,0.088,3.963,98.9
