ts,day,D0_state,D0_x,D0_y,D0_z,D0_batt,D1_state,D1_x,D1_y,D1_z,D1_batt
1779902244.276,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,0.0,0.0,0.0,100.0
1779902244.777,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902245.277,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902245.777,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902246.277,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902246.777,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902247.277,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902247.777,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902248.277,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902248.776,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902249.277,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902249.777,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902250.278,5,IDLE,6.9,-1.0,0.1,100.0,IDLE,8.1,-1.0,0.1,100.0
1779902250.777,5,TAKEOFF,6.9,-1.0,0.46,100.0,TAKEOFF,8.1,-1.0,0.479,100.0
1779902251.277,5,TAKEOFF,6.9,-1.0,0.868,99.9,TAKEOFF,8.1,-1.0,0.887,99.9
1779902251.777,5,TAKEOFF,6.9,-1.0,1.324,99.8,TAKEOFF,8.1,-1.0,1.343,99.8
1779902252.277,5,TAKEOFF,6.9,-1.0,1.756,99.7,TAKEOFF,8.1,-1.0,1.775,99.7
1779902252.777,5,TAKEOFF,6.9,-1.0,2.26,99.7,TAKEOFF,8.1,-1.0,2.279,99.7
